municipio_distrito;fecha_informe;casos_confirmados_activos_ultimos_14dias;tasa_incidencia_acumulada_activos_ultimos_14dias;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
San Sebastián de los Reyes;2020/09/08 11:03:00;25;28;435;487,25;1766;1978,14;1343
Torrejón de la Calzada;2020/09/08 11:03:00;;22,54;31;349,41;125;1408,93;1492
Zarzalejo;2020/09/08 11:03:00;;60,31;;180,94;53;3196,62;1837
Anchuelo;2020/09/08 11:03:00;;0;;157,36;15;1180,17;127
Valdelaguna;2020/09/08 11:03:00;;0;;213,45;7;747,07;1570
Valdepiélagos;2020/09/08 11:03:00;;0;;513,7;;684,93;1631
Aranjuez;2020/09/08 11:03:00;69;115,76;270;452,97;1010;1694,43;133
Paracuellos de Jarama;2020/09/08 11:03:00;6;23,74;91;360,13;305;1207,01;1049
El Vellón;2020/09/08 11:03:00;;0;8;408,58;32;1634,32;1684
Villavieja del Lozoya;2020/09/08 11:03:00;;0;;0;;1185,77;1821
Sevilla la Nueva;2020/09/08 11:03:00;;10,73;29;311,23;216;2318,09;1415
Redueña;2020/09/08 11:03:00;;0;;1153,85;6;2307,69;1219
Robledillo de la Jara;2020/09/08 11:03:00;;0;;0;;1250;1245
La Serna del Monte;2020/09/08 11:03:00;;0;;0;;2469,14;1381
Arganda del Rey;2020/09/08 11:03:00;53;95,69;167;301,5;854;1541,82;148
Rozas de Puerto Real;2020/09/08 11:03:00;;0;;188,68;6;1132,08;1283
Valdemanco;2020/09/08 11:03:00;;0;;218,82;7;765,86;1586
Arroyomolinos;2020/09/08 11:03:00;5;15,93;87;277,11;382;1216,72;151
Titulcia;2020/09/08 11:03:00;;0;;228,48;13;990,1;1473
Villa del Prado;2020/09/08 11:03:00;;30,67;87;1334,36;273;4187,12;1718
Lozoyuela-Navas-Sieteiglesias;2020/09/08 11:03:00;;0;5;384,91;14;1077,75;9015
Quijorna;2020/09/08 11:03:00;;0;5;145,39;53;1541,15;1198
Valdemoro;2020/09/08 11:03:00;23;30,27;201;264,53;1318;1734,6;1610
Tres Cantos;2020/09/08 11:03:00;8;16,76;98;205,36;656;1374,63;9036
Torrelaguna;2020/09/08 11:03:00;5;105,04;35;735,29;79;1659,66;1512
Rivas-Vaciamadrid;2020/09/08 11:03:00;87;98,7;329;373,23;1379;1564,38;1230
Pedrezuela;2020/09/08 11:03:00;;0;21;356,42;74;1255,94;1087
Santa María de la Alameda;2020/09/08 11:03:00;;0;;239,23;14;1116,43;1356
Villarejo de Salvanés;2020/09/08 11:03:00;7;95,43;23;313,57;101;1376,96;1809
Serranillos del Valle;2020/09/08 11:03:00;;0;14;336,13;80;1920,77;1408
Villaviciosa de Odón;2020/09/08 11:03:00;11;39,52;82;294,59;386;1386,74;1816
Batres;2020/09/08 11:03:00;;0;;118,76;13;771,97;170
Robledo de Chavela;2020/09/08 11:03:00;;0;;93,68;42;983,61;1258
Patones;2020/09/08 11:03:00;;0;;554,53;22;4066,54;1071
Rascafría;2020/09/08 11:03:00;;0;7;420,67;22;1322,12;1202
San Fernando de Henares;2020/09/08 11:03:00;26;65,94;139;352,51;744;1886,79;1300
Villalbilla;2020/09/08 11:03:00;;0;24;172,94;145;1044,82;1723
Torrejón de Ardoz;2020/09/08 11:03:00;23;17,51;779;592,95;3044;2317,01;1489
Becerril de la Sierra;2020/09/08 11:03:00;;0;9;157,51;73;1277,56;186
Piñuécar-Gandullas;2020/09/08 11:03:00;;540,54;;1081,08;;1621,62;1147
Torres de la Alameda;2020/09/08 11:03:00;;12,86;16;205,68;138;1774,01;1548
Somosierra;2020/09/08 11:03:00;;0;;0;;2325,58;1436
Orusco de Tajuña;2020/09/08 11:03:00;;0;;80,39;29;2331,19;1028
Ribatejada;2020/09/08 11:03:00;;0;;255,43;5;638,57;1224
Villaconejos;2020/09/08 11:03:00;;29,52;6;177,1;25;737,9;1701
Belmonte de Tajo;2020/09/08 11:03:00;;120,19;;180,29;17;1021,63;199
Valdetorres de Jarama;2020/09/08 11:03:00;;0;8;177,9;40;889,48;1646
Berzosa del Lozoya;2020/09/08 11:03:00;;487,8;;975,61;5;2439,02;203
El Berrueco;2020/09/08 11:03:00;;0;;0;14;1842,11;210
Boadilla del Monte;2020/09/08 11:03:00;14;25,66;131;240,06;705;1291,92;225
El Boalo;2020/09/08 11:03:00;;26,64;10;133,19;77;1025,57;231
Braojos;2020/09/08 11:03:00;;0;;0;;975,61;246
Brea de Tajo;2020/09/08 11:03:00;;0;7;1335,88;17;3244,27;259
Brunete;2020/09/08 11:03:00;;0;19;176,97;169;1574,14;262
Buitrago del Lozoya;2020/09/08 11:03:00;;106,16;7;371,55;45;2388,54;278
Bustarviejo;2020/09/08 11:03:00;;39,95;;159,81;16;639,23;284
Cabanillas de la Sierra;2020/09/08 11:03:00;;0;6;793,65;22;2910,05;297
La Cabrera;2020/09/08 11:03:00;;112,49;9;337,46;33;1237,35;301
Cadalso de los Vidrios;2020/09/08 11:03:00;;0;5;164,53;23;756,83;318
Camarma de Esteruelas;2020/09/08 11:03:00;7;95,42;18;245,37;76;1035,99;323
Campo Real;2020/09/08 11:03:00;;16,1;16;257,65;103;1658,62;339
Canencia;2020/09/08 11:03:00;;0;;0;;671,14;344
Carabaña;2020/09/08 11:03:00;;99,5;12;597,01;32;1592,04;357
