Fecha;cod_ine;CCAA;Total Pacientes COVID ingresados;% Camas Ocupadas COVID;Total pacientes COVID en UCI;% Camas Ocupadas UCI COVID;Ingresos COVID últimas 24 h;Altas COVID últimas 24 h
2020-09-10;9;Cataluña;1116,0;5;151,0;;111,0;128,0
2020-09-10;18;Ceuta;8,0;5;1,0;;2,0;1,0
2020-09-10;10;C. Valenciana;539,0;5;82,0;;75,0;66,0
2020-09-10;11;Extremadura;102,0;3;15,0;;19,0;4,0
2020-09-10;12;Galicia;239,0;3;26,0;;44,0;21,0
2020-09-10;13;Madrid;2594,0;18;322,0;;331,0;300,0
2020-09-10;19;Melilla;14,0;8;2,0;;2,0;1,0
2020-09-10;14;Murcia;318,0;9;64,0;;54,0;35,0
2020-09-10;15;Navarra;109,0;6;7,0;;20,0;20,0
2020-09-10;16;País Vasco;513,0;11;65,0;;71,0;62,0
2020-09-10;17;La Rioja;68,0;9;11,0;;5,0;5,0
2020-09-10;0;España;8658,0;7,50;1181,0;;1124,0;919,0
2020-09-13;1;Andalucía;1068,0;7;133,0;;125,0;64,0
2020-09-13;2;Aragón;465,0;12;60,0;;37,0;19,0
2020-09-13;3;Asturias;58,0;2;10,0;;10,0;0,0
2020-09-13;4;Baleares;347,0;12;63,0;;30,0;8,0
2020-09-13;5;Canarias;260,0;5;56,0;;16,0;10,0
2020-09-13;6;Cantabria;79,0;5;12,0;;14,0;4,0
2020-09-13;8;Castilla La Mancha;518,0;12;59,0;;64,0;15,0
2020-09-13;7;Castilla y León;498,0;9;51,0;;62,0;14,0
2020-09-13;9;Cataluña;1182,0;5;159,0;;91,0;49,0
2020-09-13;18;Ceuta;7,0;4;0,0;;0,0;0,0
2020-09-13;10;C. Valenciana;502,0;5;71,0;;55,0;14,0
2020-09-13;11;Extremadura;132,0;4;17,0;;17,0;1,0
2020-09-13;12;Galicia;216,0;3;26,0;;23,0;9,0
2020-09-13;13;Madrid;2748,0;21;301,0;;284,0;92,0
2020-09-13;19;Melilla;16,0;9;4,0;;5,0;2,0
2020-09-13;14;Murcia;242,0;10;51,0;;26,0;16,0
2020-09-13;15;Navarra;121,0;7;8,0;;12,0;8,0
2020-09-13;16;País Vasco;502,0;12;63,0;;29,0;20,0
2020-09-13;17;La Rioja;83,0;11;13,0;;8,0;1,0
2020-09-13;0;España;9044,0;8,50;1157,0;;908,0;346,0
2020-09-14;1;Andalucía;1091,0;7;142,0;;176,0;127,0
2020-09-14;2;Aragón;481,0;12;60,0;;56,0;40,0
2020-09-14;3;Asturias;59,0;2;11,0;;9,0;6,0
2020-09-14;4;Baleares;341,0;12;64,0;;24,0;32,0
2020-09-14;5;Canarias;259,0;5;54,0;;16,0;23,0
2020-09-14;6;Cantabria;79,0;5;9,0;;5,0;6,0
2020-09-14;8;Castilla La Mancha;555,0;12;61,0;;59,0;43,0
2020-09-14;7;Castilla y León;550,0;9;68,0;;89,0;56,0
2020-09-14;9;Cataluña;1216,0;5;159,0;;105,0;138,0
2020-09-14;18;Ceuta;5,0;3;0,0;;0,0;2,0
2020-09-14;10;C. Valenciana;566,0;5;72,0;;83,0;64,0
2020-09-14;11;Extremadura;127,0;4;19,0;;15,0;10,0
2020-09-14;12;Galicia;259,0;3;29,0;;28,0;19,0
2020-09-14;13;Madrid;3095,0;21;359,0;;380,0;294,0
2020-09-14;19;Melilla;14,0;8;4,0;;1,0;3,0
2020-09-14;14;Murcia;314,0;9;66,0;;61,0;45,0
2020-09-14;15;Navarra;126,0;7;12,0;;32,0;25,0
2020-09-14;16;País Vasco;533,0;12;67,0;;78,0;92,0
2020-09-14;17;La Rioja;82,0;11;17,0;;12,0;10,0
2020-09-14;0;España;9752,0;8,50;1273,0;;1229,0;1035,0
2020-09-15;1;Andalucía;1088,0;7;139,0;;158,0;116,0
2020-09-15;2;Aragón;469,0;12;62,0;;68,0;59,0
2020-09-15;3;Asturias;53,0;2;11,0;;6,0;8,0
2020-09-15;4;Baleares;336,0;11;67,0;;25,0;36,0
2020-09-15;5;Canarias;247,0;5;54,0;;17,0;24,0
2020-09-15;6;Cantabria;76,0;5;8,0;;15,0;2,0
